"Orders_Unique","Returns_Unique","Frequency","Total_Items_Purchased","Quantity_Basket","Total_Items_Returned","Types_Items_Purchased","Unique_Item_Per_Basket","Types_Items_Returned","Unique_Item_Per_Return","Sales_Revenue","Return_Refund","Monetory_Value","Average_Unit_Price_Purchase","Average_Unit_Refund_Return","Country","Is_Buying_Most_Popular","Recency","Recency_Quantile","Frequency_Quantile","Monetory_Value_Quantile"
5,2,7,513,102.6,-16,44,11.6,5,3,924.4,-35.3,889.1,1.80194931773879,2.20625,"United Kingdom","1",73,0.75,0.88,0.81
4,0,4,333,83.25,0,99,27.5,0,0,596.13,0,0,1.79018018018018,0,"United Kingdom","1",40,0.56,0.7,0.06
7,3,10,975,139.285714285714,-30,92,17.2857142857143,6,2,2121.84,-72.73,2049.11,2.17624615384615,2.42433333333333,"United Kingdom","1",40,0.56,0.94,0.91
2,0,2,836,418,0,40,22.5,0,0,611.6,0,0,0.731578947368421,0,"United Kingdom","0",35,0.52,0.38,0.06
2,0,2,522,261,0,44,22,0,0,740.78,0,0,1.41911877394636,0,"United Kingdom","0",36,0.53,0.38,0.06
4,1,5,493,123.25,-101,54,16.75,16,16,1240.11,-361.91,878.2,2.51543610547667,3.58326732673267,"United Kingdom","1",79,0.78,0.79,0.81
3,0,3,824,274.666666666667,0,53,20,0,0,822.29,0,0,0.997924757281553,0,"United Kingdom","0",1,0.04,0.58,0.06
5,0,5,101,20.2,0,9,3.4,0,0,776.55,0,0,7.68861386138614,0,"United Kingdom","0",43,0.57,0.79,0.06
10,1,11,2871,287.1,-1,81,23.4,1,1,4195.53,-4.5,4191.03,1.46134796238245,4.5,"United Kingdom","0",2,0.05,0.95,0.97
9,0,9,527,58.5555555555556,0,13,3.22222222222222,0,0,1849.48,0,0,3.50944971537002,0,"United Kingdom","0",4,0.13,0.92,0.06
19,0,19,257,13.5263157894737,0,78,4.68421052631579,0,0,422.05,0,0,1.64221789883268,0,"United Kingdom","0",21,0.37,0.99,0.06
3,1,4,452,150.666666666667,-1,21,8,1,1,414.17,-18,396.17,0.916305309734513,18,"Netherlands","0",19,0.35,0.7,0.75
3,1,4,239,79.6666666666667,-1,21,7.66666666666667,1,1,942.36,-4.95,937.41,3.94292887029289,4.95,"United Kingdom","0",72,0.74,0.7,0.82
4,0,4,377,94.25,0,31,8.75,0,0,772.56,0,0,2.04923076923077,0,"United Kingdom","1",9,0.21,0.7,0.06
8,0,8,1354,169.25,0,180,27.25,0,0,1545.76,0,0,1.14162481536189,0,"United Kingdom","0",11,0.26,0.91,0.06
3,1,4,2006,668.666666666667,-49,164,58.6666666666667,8,8,3295.07,-128.09,3166.98,1.64260717846461,2.61408163265306,"Spain","1",19,0.34,0.7,0.94
6,1,7,1092,182,-2,183,38.1666666666667,2,2,2057.59,-14.85,2042.74,1.88423992673993,7.425,"United Kingdom","1",5,0.14,0.88,0.91
1,0,1,176,176,0,30,30,0,0,161.38,0,0,0.916931818181818,0,"United Kingdom","0",183,0.99,0.02,0.06
6,0,6,718,119.666666666667,0,100,21.6666666666667,0,0,1372.68,0,0,1.91181058495822,0,"United Kingdom","0",25,0.43,0.84,0.06
4,1,5,560,140,-260,26,9,14,14,1080.48,-479.8,600.68,1.92942857142857,1.84538461538462,"United Kingdom","0",18,0.34,0.79,0.77
12,4,16,3212,267.666666666667,-74,115,15.3333333333333,6,2,6830.96,-156.02,6674.94,2.126699875467,2.10837837837838,"United Kingdom","0",2,0.07,0.98,0.99
3,1,4,1154,384.666666666667,-3,64,22.3333333333333,2,2,1105.3,-2.15,1103.15,0.957798960138648,0.716666666666667,"United Kingdom","0",56,0.65,0.7,0.84
5,0,5,1009,201.8,0,47,14.6,0,0,1416.65,0,0,1.40401387512389,0,"United Kingdom","1",8,0.17,0.79,0.06
10,1,11,1118,111.8,-31,174,25.4,3,3,2162.25,-96.75,2065.5,1.93403398926655,3.12096774193548,"United Kingdom","1",8,0.19,0.95,0.91
2,0,2,509,254.5,0,32,18.5,0,0,869.67,0,0,1.70858546168959,0,"France","1",70,0.73,0.38,0.06
3,0,3,1290,430,0,84,31.6666666666667,0,0,1548.31,0,0,1.20024031007752,0,"France","1",31,0.48,0.58,0.06
12,2,14,3687,307.25,-59,271,40.3333333333333,7,3.5,7520.99,-67.25,7453.74,2.03986710062381,1.13983050847458,"United Kingdom","1",7,0.15,0.97,0.99
7,0,7,1176,168,0,16,4.42857142857143,0,0,3204.16,0,0,2.72462585034014,0,"United Kingdom","1",17,0.32,0.88,0.06
15,2,17,31626,2108.4,-721,93,9.73333333333333,3,1.5,41577.62,-608.84,40968.78,1.31466578131917,0.844438280166436,"United Kingdom","1",4,0.13,0.98,1
1,0,1,1,1,0,1,1,0,0,8.5,0,0,8.5,0,"United Kingdom","0",183,0.99,0.02,0.06
24,6,30,36285,1511.875,-221,205,11.9166666666667,5,1,36840.27,-478.36,36361.91,1.01530301777594,2.16452488687783,"United Kingdom","1",3,0.08,1,1
1,2,3,535,535,-15,56,56,8,4,959.7,-95.4,864.3,1.79383177570093,6.36,"United Kingdom","0",64,0.7,0.58,0.81
5,1,6,665,133,-9,35,10,2,2,1559.06,-28.9,1530.16,2.34445112781955,3.21111111111111,"United Kingdom","0",17,0.31,0.84,0.88
3,0,3,191,63.6666666666667,0,18,7,0,0,414.04,0,0,2.16774869109948,0,"United Kingdom","1",65,0.71,0.58,0.06
3,2,5,371,123.666666666667,-2,3,1,1,1,2072,-648,1424,5.58490566037736,324,"United Kingdom","0",67,0.72,0.79,0.87
0,1,1,0,0,-1,0,0,1,1,0,-8.25,0,0,8.25,"United Kingdom","0",183,0.99,0.02,0.06
15,4,19,1379,91.9333333333333,-152,152,22.1333333333333,20,5.5,4116.17,-330.15,3786.02,2.98489485134155,2.17203947368421,"United Kingdom","0",3,0.09,0.99,0.96
2,1,3,198,99,-4,41,23,1,1,558.26,-13,545.26,2.81949494949495,3.25,"United Kingdom","1",169,0.96,0.58,0.77
4,0,4,1170,292.5,0,98,27.5,0,0,781.28,0,0,0.667760683760684,0,"United Kingdom","0",24,0.41,0.7,0.06
7,1,8,1471,210.142857142857,-12,71,16.2857142857143,2,2,2179.23,-4.6,2174.63,1.48146159075459,0.383333333333333,"United Kingdom","1",4,0.12,0.91,0.91
2,1,3,206,103,-3,20,10.5,3,3,527.48,-20.65,506.83,2.56058252427184,6.88333333333333,"United Kingdom","1",8,0.19,0.58,0.76
1,0,1,70,70,0,8,8,0,0,72,0,0,1.02857142857143,0,"United Kingdom","0",182,0.99,0.02,0.06
6,2,8,1343,223.833333333333,-21,71,15.3333333333333,2,1,2356.3,-90.62,2265.68,1.75450483991065,4.3152380952381,"United Kingdom","0",0,0.01,0.91,0.92
3,0,3,513,171,0,53,20,0,0,975.18,0,0,1.90093567251462,0,"United Kingdom","0",28,0.45,0.58,0.06
7,0,7,2443,349,0,114,21.1428571428571,0,0,2042.65,0,0,0.836123618501842,0,"United Kingdom","0",30,0.48,0.88,0.07
1,1,2,134,134,-12,9,9,2,2,105.84,-35.4,70.44,0.789850746268657,2.95,"United Kingdom","0",155,0.94,0.38,0.7
5,0,5,944,188.8,0,8,2.2,0,0,1717.36,0,0,1.81923728813559,0,"United Kingdom","0",22,0.38,0.79,0.07
2,0,2,244,122,0,37,19.5,0,0,711.5,0,0,2.91598360655738,0,"United Kingdom","1",58,0.67,0.38,0.07
2,0,2,648,324,0,31,19.5,0,0,1148.8,0,0,1.77283950617284,0,"United Kingdom","0",143,0.92,0.38,0.07
3,0,3,914,304.666666666667,0,10,4.33333333333333,0,0,1932.72,0,0,2.11457330415755,0,"France","0",128,0.89,0.58,0.07
8,0,8,2447,305.875,0,95,16.125,0,0,2931.54,0,0,1.19801389456477,0,"United Kingdom","0",30,0.48,0.91,0.07
2,0,2,155,77.5,0,6,4,0,0,835.85,0,0,5.39258064516129,0,"United Kingdom","1",71,0.74,0.38,0.07
1,1,2,45,45,-25,5,5,2,2,93.35,-25.4,67.95,2.07444444444444,1.016,"United Kingdom","0",8,0.17,0.38,0.7
1,0,1,55,55,0,14,14,0,0,149.89,0,0,2.72527272727273,0,"United Kingdom","0",182,0.99,0.02,0.07
2,0,2,88,44,0,22,13,0,0,274.52,0,0,3.11954545454545,0,"United Kingdom","0",179,0.98,0.38,0.07
3,0,3,498,166,0,102,37,0,0,780.43,0,0,1.56712851405622,0,"United Kingdom","1",22,0.39,0.58,0.07
1,0,1,223,223,0,26,26,0,0,506.19,0,0,2.26991031390135,0,"United Kingdom","0",182,0.99,0.02,0.07
3,0,3,473,157.666666666667,0,105,53.3333333333333,0,0,1029.74,0,0,2.17704016913319,0,"United Kingdom","1",82,0.79,0.58,0.07
4,0,4,186,46.5,0,7,3,0,0,184.14,0,0,0.99,0,"United Kingdom","0",15,0.29,0.7,0.07
1,0,1,97,97,0,31,33,0,0,124.15,0,0,1.27989690721649,0,"United Kingdom","0",182,0.99,0.02,0.07
3,0,3,208,69.3333333333333,0,127,48,0,0,423.79,0,0,2.03745192307692,0,"United Kingdom","1",12,0.26,0.58,0.07
3,4,7,5551,1850.33333333333,-8,91,36.3333333333333,4,1.25,11072.67,-15.74,11056.93,1.99471626733922,1.9675,"Switzerland","1",78,0.77,0.88,0.99
5,2,7,630,126,-4,95,23,3,1.5,1528.49,-80.96,1447.53,2.4261746031746,20.24,"United Kingdom","1",18,0.34,0.88,0.87
4,1,5,529,132.25,-2,86,24.5,1,1,1348.93,-12.5,1336.43,2.54996219281664,6.25,"United Kingdom","1",26,0.44,0.79,0.86
7,0,7,1494,213.428571428571,0,191,45.4285714285714,0,0,1600.26,0,0,1.07112449799197,0,"United Kingdom","1",8,0.17,0.88,0.07
5,1,6,535,107,-1,23,7.2,1,1,1010.57,-3.25,1007.32,1.88891588785047,3.25,"United Kingdom","0",64,0.71,0.84,0.83
17,3,20,3345,196.764705882353,-21,198,18.5882352941176,5,1.66666666666667,7218.93,-72.8,7146.13,2.15812556053812,3.46666666666667,"United Kingdom","1",7,0.16,0.99,0.99
3,0,3,185,61.6666666666667,0,12,5.33333333333333,0,0,299.81,0,0,1.62059459459459,0,"United Kingdom","0",40,0.56,0.58,0.07
5,0,5,249,49.8,0,12,4.2,0,0,928.79,0,0,3.73008032128514,0,"United Kingdom","0",21,0.37,0.79,0.07
11,1,12,4039,367.181818181818,-2,97,14.7272727272727,1,1,3499.36,-11.5,3487.86,0.86639267145333,5.75,"United Kingdom","0",4,0.11,0.96,0.95
8,3,11,1899,237.375,-31,218,43,15,5,3489.77,-58.67,3431.1,1.83768825697736,1.89258064516129,"United Kingdom","1",1,0.03,0.95,0.95
3,2,5,121,40.3333333333333,-61,1,1,2,1,39916.5,-39267,649.5,329.888429752066,643.72131147541,"United Kingdom","0",182,0.99,0.79,0.78
5,1,6,440,88,-1,25,10.2,1,1,2128.65,-25,2103.65,4.83784090909091,25,"Germany","0",22,0.38,0.84,0.91
5,1,6,1421,284.2,-58,79,20.6,9,9,2042.81,-122.1,1920.71,1.43758620689655,2.1051724137931,"United Kingdom","0",15,0.29,0.84,0.9
19,3,22,6949,365.736842105263,-58,244,22.9473684210526,7,2.33333333333333,9327.44,-184.2,9143.24,1.3422708303353,3.17586206896552,"United Kingdom","1",4,0.12,0.99,0.99
3,1,4,752,250.666666666667,-22,54,21.3333333333333,1,1,1455.17,-9.24,1445.93,1.9350664893617,0.42,"United Kingdom","0",95,0.83,0.7,0.87
2,1,3,528,264,-9,39,22.5,3,3,778.54,-24.05,754.49,1.47450757575758,2.67222222222222,"United Kingdom","1",88,0.81,0.58,0.79
1,0,1,89,89,0,17,17,0,0,213.8,0,0,2.40224719101124,0,"United Kingdom","0",180,0.99,0.02,0.07
10,2,12,3035,303.5,-50,87,15.2,3,1.5,4238.99,-76.04,4162.95,1.3967018121911,1.5208,"France","0",2,0.05,0.96,0.97
1,0,1,54,54,0,7,7,0,0,80.82,0,0,1.49666666666667,0,"United Kingdom","0",180,0.99,0.02,0.07
2,0,2,58,29,0,37,19.5,0,0,202.37,0,0,3.48913793103448,0,"United Kingdom","0",19,0.35,0.38,0.07
6,1,7,496,82.6666666666667,-11,23,6.5,2,2,2191.16,-88.45,2102.71,4.41766129032258,8.04090909090909,"United Kingdom","1",19,0.35,0.88,0.91
4,0,4,283,70.75,0,68,22.5,0,0,653.45,0,0,2.30901060070671,0,"United Kingdom","0",12,0.26,0.7,0.07
5,0,5,274,54.8,0,33,11.4,0,0,624.35,0,0,2.2786496350365,0,"United Kingdom","0",12,0.26,0.79,0.07
2,0,2,875,437.5,0,20,13,0,0,1312.06,0,0,1.49949714285714,0,"Germany","0",77,0.77,0.38,0.07
6,1,7,1271,211.833333333333,-4,31,7.5,2,2,1988.71,-8.7,1980.01,1.56468135326515,2.175,"United Kingdom","0",25,0.43,0.88,0.9
5,0,5,621,124.2,0,82,22.2,0,0,1274.44,0,0,2.0522383252818,0,"United Kingdom","1",33,0.51,0.79,0.07
5,1,6,961,192.2,-1,101,25.2,1,1,2435.58,-4.95,2430.63,2.53442247658689,4.95,"United Kingdom","1",17,0.32,0.84,0.92
2,0,2,389,194.5,0,106,61,0,0,550.01,0,0,1.41390745501285,0,"United Kingdom","1",138,0.91,0.38,0.07
3,0,3,970,323.333333333333,0,196,101,0,0,1329.84,0,0,1.37096907216495,0,"United Kingdom","0",47,0.6,0.58,0.07
15,3,18,3371,224.733333333333,-8,79,16.8,3,1,5533.24,-54.4,5478.84,1.64142390981904,6.8,"United Kingdom","1",1,0.05,0.99,0.98
3,1,4,534,178,-1,26,12,1,1,924.61,-12.75,911.86,1.73147940074906,12.75,"United Kingdom","1",44,0.59,0.71,0.82
13,1,14,1500,115.384615384615,-74,136,15.7692307692308,19,19,2051.85,-145.95,1905.9,1.3679,1.9722972972973,"United Kingdom","1",4,0.11,0.97,0.9
4,0,4,887,221.75,0,80,25.5,0,0,1283.53,0,0,1.44704622322435,0,"United Kingdom","0",12,0.26,0.71,0.07
3,0,3,300,100,0,31,14.6666666666667,0,0,544.18,0,0,1.81393333333333,0,"United Kingdom","0",40,0.56,0.58,0.07
5,0,5,678,135.6,0,113,36.6,0,0,1154.58,0,0,1.7029203539823,0,"United Kingdom","1",9,0.21,0.79,0.07
2,0,2,611,305.5,0,30,20,0,0,1135.04,0,0,1.8576759410802,0,"United Kingdom","0",108,0.86,0.38,0.07
1,0,1,40,40,0,24,24,0,0,110.78,0,0,2.7695,0,"United Kingdom","0",180,0.99,0.02,0.07
3,1,4,2413,804.333333333333,-1515,203,73.6666666666667,1,1,2444.08,-833.25,1610.83,1.01288023207625,0.55,"United Kingdom","1",8,0.19,0.71,0.88
3,0,3,578,192.666666666667,0,74,29,0,0,1063.28,0,0,1.83958477508651,0,"United Kingdom","1",26,0.44,0.58,0.07
4,2,6,1906,476.5,-39,69,20.75,11,5.5,1351.3,-51.09,1300.21,0.70897166841553,1.31,"United Kingdom","0",16,0.31,0.84,0.86
3,1,4,513,171,-1,86,34.6666666666667,1,1,931.02,-8.25,922.77,1.81485380116959,8.25,"United Kingdom","1",31,0.49,0.71,0.82
2,0,2,190,95,0,26,14,0,0,408.9,0,0,2.15210526315789,0,"United Kingdom","0",39,0.55,0.38,0.07
9,0,9,1043,115.888888888889,0,288,43.6666666666667,0,0,1493.96,0,0,1.43236816874401,0,"United Kingdom","1",11,0.25,0.92,0.07
16,9,25,4190,261.875,-55,79,12.3125,10,1.33333333333333,8160.78,-72.61,8088.17,1.94768019093079,1.32018181818182,"United Kingdom","1",1,0.02,1,0.99
10,2,12,923,92.3,-4,142,27.8,2,1,1196.5,-21.2,1175.3,1.29631635969664,5.3,"United Kingdom","0",1,0.04,0.96,0.85
6,0,6,994,165.666666666667,0,13,3.66666666666667,0,0,1482.66,0,0,1.49160965794769,0,"United Kingdom","0",89,0.82,0.84,0.07
2,1,3,677,338.5,-9,100,64,7,7,1184.84,-33.2,1151.64,1.7501329394387,3.68888888888889,"United Kingdom","0",82,0.79,0.59,0.84
3,1,4,849,283,-2,233,93,1,1,1335.23,-9.9,1325.33,1.57270906949352,4.95,"United Kingdom","1",26,0.44,0.71,0.86
17,4,21,1666,98,-38,13,4.29411764705882,6,2,2370.72,-56.28,2314.44,1.42300120048019,1.48105263157895,"United Kingdom","0",0,0.01,0.99,0.92
10,1,11,895,89.5,-5,149,20.3,1,1,1757.73,-21.25,1736.48,1.96394413407821,4.25,"United Kingdom","1",7,0.16,0.95,0.89
16,3,19,1105,69.0625,-6,92,7.1875,3,1,2113.85,-39.72,2074.13,1.91298642533937,6.62,"United Kingdom","1",1,0.02,0.99,0.91
6,2,8,1717,286.166666666667,-3,75,20.5,2,1,2128.32,-21.25,2107.07,1.23955736750146,7.08333333333333,"United Kingdom","0",8,0.19,0.91,0.91
2,0,2,642,321,0,68,35,0,0,1070.65,0,0,1.66767912772586,0,"United Kingdom","0",50,0.61,0.38,0.08
3,2,5,1369,456.333333333333,-9,125,47,2,1,2128.42,-19.35,2109.07,1.55472607742878,2.15,"United Kingdom","1",59,0.67,0.79,0.91
1,1,2,330,330,-6,26,26,1,1,376.58,-15.3,361.28,1.14115151515152,2.55,"United Kingdom","0",171,0.97,0.38,0.74
13,1,14,9134,702.615384615385,-3,18,2.61538461538462,1,1,6457.48,-3.18,6454.3,0.706971753886578,1.06,"United Kingdom","0",8,0.19,0.98,0.98
4,0,4,157,39.25,0,10,3.75,0,0,322.41,0,0,2.05356687898089,0,"United Kingdom","0",75,0.76,0.71,0.08
11,4,15,1518,138,-390,89,13.1818181818182,26,7.25,2792.67,-504.4,2288.27,1.83970355731225,1.29333333333333,"United Kingdom","0",7,0.16,0.98,0.92
3,0,3,1360,453.333333333333,0,80,29.6666666666667,0,0,2495.77,0,0,1.835125,0,"Germany","0",22,0.38,0.59,0.08
4,1,5,204,51,-1,37,10.25,1,1,549.46,-4.95,544.51,2.69343137254902,4.95,"United Kingdom","1",84,0.8,0.79,0.76
1,0,1,111,111,0,12,12,0,0,236.26,0,0,2.12846846846847,0,"France","0",179,0.98,0.02,0.08
4,0,4,516,129,0,73,24.25,0,0,757.63,0,0,1.46827519379845,0,"United Kingdom","0",30,0.48,0.71,0.08
10,1,11,2176,217.6,-2,84,15.6,1,1,3298,-1.66,3296.34,1.515625,0.83,"United Kingdom","0",1,0.02,0.95,0.95
3,0,3,1837,612.333333333333,0,145,53.6666666666667,0,0,2946.94,0,0,1.60421339139902,0,"France","0",9,0.2,0.59,0.08
3,4,7,675,225,-22,22,9.33333333333333,3,1,838.93,-29.7,809.23,1.24285925925926,1.35,"United Kingdom","0",100,0.84,0.88,0.8
3,0,3,316,105.333333333333,0,107,39.6666666666667,0,0,429.56,0,0,1.3593670886076,0,"United Kingdom","1",72,0.74,0.59,0.08
1,0,1,150,150,0,29,29,0,0,187.14,0,0,1.2476,0,"United Kingdom","0",179,0.98,0.02,0.08
7,1,8,1477,211,-1,88,18.2857142857143,1,1,2169.45,-14.95,2154.5,1.46882193635748,14.95,"United Kingdom","0",16,0.31,0.91,0.91
5,1,6,1232,246.4,-2,64,17.4,1,1,2174.61,-9.9,2164.71,1.76510551948052,4.95,"United Kingdom","0",17,0.32,0.85,0.91
2,0,2,114,57,0,21,10.5,0,0,379.65,0,0,3.33026315789474,0,"United Kingdom","1",14,0.27,0.38,0.08
4,1,5,837,209.25,-1,147,48.75,1,1,1358.38,-9.95,1348.43,1.62291517323775,9.95,"United Kingdom","0",1,0.03,0.79,0.86
17,0,17,2773,163.117647058824,0,191,13.1176470588235,0,0,3603.74,0,0,1.29958168049044,0,"United Kingdom","0",16,0.3,0.98,0.08
14,0,14,2941,210.071428571429,0,203,21.3571428571429,0,0,5280.79,0,0,1.79557633458007,0,"United Kingdom","0",10,0.23,0.98,0.08
3,0,3,226,75.3333333333333,0,57,21.6666666666667,0,0,444.33,0,0,1.96606194690265,0,"United Kingdom","0",78,0.78,0.59,0.08
3,1,4,258,86,-2,46,16.6666666666667,2,2,448.9,-8.7,440.2,1.73992248062016,4.35,"United Kingdom","0",4,0.13,0.71,0.75
4,3,7,2323,580.75,-26,142,50.25,14,5.33333333333333,3523.27,-70.75,3452.52,1.51668962548429,2.72115384615385,"Germany","1",30,0.47,0.88,0.95
1,0,1,520,520,0,70,70,0,0,1109.53,0,0,2.13371153846154,0,"United Kingdom","1",179,0.98,0.02,0.08
1,0,1,102,102,0,8,8,0,0,98.25,0,0,0.963235294117647,0,"United Kingdom","0",179,0.98,0.02,0.08
3,0,3,827,275.666666666667,0,47,19,0,0,1513.91,0,0,1.8306045949214,0,"United Kingdom","0",53,0.64,0.59,0.08
8,3,11,1342,167.75,-12,65,17,3,1.33333333333333,2654.99,-36.55,2618.44,1.97838301043219,3.04583333333333,"United Kingdom","0",10,0.22,0.95,0.93
1,0,1,120,120,0,6,6,0,0,58.08,0,0,0.484,0,"United Kingdom","0",179,0.98,0.02,0.08
6,0,6,354,59,0,64,17.6666666666667,0,0,1403.75,0,0,3.96539548022599,0,"United Kingdom","1",3,0.1,0.85,0.08
2,3,5,1633,816.5,-21,113,59.5,9,3.33333333333333,2477.54,-67.95,2409.59,1.51717085119412,3.23571428571429,"Switzerland","1",67,0.72,0.79,0.92
1,0,1,91,91,0,13,13,0,0,189.47,0,0,2.08208791208791,0,"United Kingdom","0",179,0.98,0.02,0.08
6,3,9,1134,189,-26,134,25.6666666666667,14,4.66666666666667,1903.88,-157.28,1746.6,1.67890652557319,6.04923076923077,"United Kingdom","1",29,0.46,0.92,0.89
2,0,2,157,78.5,0,48,26,0,0,352.31,0,0,2.2440127388535,0,"United Kingdom","0",12,0.26,0.38,0.08
2,1,3,652,326,-1,49,24.5,1,1,1169.6,-2.75,1166.85,1.79386503067485,2.75,"United Kingdom","0",64,0.7,0.59,0.85
5,2,7,507,101.4,-152,47,10.6,17,8.5,939.45,-345.12,594.33,1.85295857988166,2.27052631578947,"United Kingdom","0",9,0.2,0.88,0.77
2,1,3,57,28.5,-3,7,3.5,2,2,154.83,-17.45,137.38,2.71631578947368,5.81666666666667,"United Kingdom","0",7,0.16,0.59,0.71
4,1,5,719,179.75,-4,66,19,1,1,1705.87,-167,1538.87,2.37255910987483,41.75,"United Kingdom","1",9,0.2,0.79,0.88
5,1,6,1104,220.8,-2,85,19.2,1,1,1783.74,-8.3,1775.44,1.61570652173913,4.15,"United Kingdom","1",8,0.17,0.85,0.89
4,1,5,445,111.25,-4,25,10.5,3,3,777.62,-6.6,771.02,1.7474606741573,1.65,"United Kingdom","0",2,0.05,0.79,0.8
11,2,13,3272,297.454545454545,-4,195,24.5454545454545,2,1,3984.13,-10.8,3973.33,1.21764364303178,2.7,"United Kingdom","1",4,0.12,0.97,0.97
6,0,6,2004,334,0,113,27.3333333333333,0,0,3543.26,0,0,1.76809381237525,0,"United Kingdom","0",3,0.09,0.85,0.08
7,3,10,6876,982.285714285714,-961,46,14.8571428571429,36,13,14220.23,-1663.84,12556.39,2.06809627690518,1.73136316337149,"United Kingdom","0",25,0.42,0.94,0.99
15,2,17,4704,313.6,-16,138,10.6,4,2.5,9968.03,-96.95,9871.08,2.11905399659864,6.059375,"United Kingdom","1",0,0.01,0.98,0.99
8,0,8,2362,295.25,0,55,13.125,0,0,3999.63,0,0,1.69332345469941,0,"United Kingdom","1",10,0.23,0.91,0.08
6,1,7,1425,237.5,-1,222,79.5,1,1,2601.2,-1.65,2599.55,1.82540350877193,1.65,"United Kingdom","1",32,0.5,0.88,0.93
11,0,11,1031,93.7272727272727,0,189,45.3636363636364,0,0,1530.01,0,0,1.48400581959263,0,"United Kingdom","1",3,0.11,0.95,0.08
2,0,2,442,221,0,62,38.5,0,0,536.9,0,0,1.21470588235294,0,"United Kingdom","0",156,0.95,0.38,0.08
9,3,12,3523,391.444444444444,-39,60,7.33333333333333,7,2.33333333333333,6389.27,-107.93,6281.34,1.81358785126313,2.7674358974359,"United Kingdom","0",9,0.21,0.96,0.98
15,2,17,2269,151.266666666667,-4,128,16.4666666666667,3,1.5,5763.55,-18.2,5745.35,2.54012780960776,4.55,"United Kingdom","1",1,0.04,0.98,0.98
5,0,5,766,153.2,0,259,72.8,0,0,1368.27,0,0,1.78625326370757,0,"United Kingdom","1",1,0.03,0.79,0.08
7,3,10,1857,265.285714285714,-356,108,18.2857142857143,36,12,2986.09,-538.52,2447.57,1.6080183091007,1.51269662921348,"United Kingdom","0",18,0.33,0.94,0.93
7,0,7,1185,169.285714285714,0,186,36.8571428571429,0,0,2413.09,0,0,2.03636286919831,0,"United Kingdom","0",9,0.21,0.88,0.08
4,1,5,322,80.5,-4,36,12,1,1,661.52,-6.6,654.92,2.0544099378882,1.65,"United Kingdom","0",67,0.73,0.79,0.78
5,0,5,360,72,0,80,17.4,0,0,1090.1,0,0,3.02805555555556,0,"United Kingdom","1",31,0.49,0.79,0.08
7,2,9,2422,346,-7,123,21.7142857142857,3,1.5,4151.93,-29.65,4122.28,1.71425681255161,4.23571428571429,"United Kingdom","0",30,0.47,0.92,0.97
2,0,2,108,54,0,50,26,0,0,272.13,0,0,2.51972222222222,0,"United Kingdom","0",3,0.09,0.38,0.08
2,0,2,489,244.5,0,115,58,0,0,1326.83,0,0,2.71335378323108,0,"United Kingdom","1",148,0.93,0.38,0.08
7,0,7,935,133.571428571429,0,33,6.28571428571429,0,0,2327.02,0,0,2.48879144385027,0,"United Kingdom","1",50,0.62,0.88,0.08
2,0,2,243,121.5,0,28,14,0,0,441.64,0,0,1.81744855967078,0,"United Kingdom","0",45,0.59,0.38,0.08
3,0,3,836,278.666666666667,0,89,30,0,0,1560.58,0,0,1.86672248803828,0,"United Kingdom","1",32,0.5,0.59,0.08
0,1,1,0,0,-6,0,0,2,2,0,-24.2,0,0,4.03333333333333,"Austria","0",178,0.98,0.02,0.08
2,0,2,251,125.5,0,17,8.5,0,0,367.8,0,0,1.46533864541833,0,"United Kingdom","0",116,0.87,0.38,0.08
1,0,1,119,119,0,6,6,0,0,123.13,0,0,1.03470588235294,0,"United Kingdom","0",178,0.98,0.02,0.08
4,0,4,815,203.75,0,28,10.5,0,0,1621.73,0,0,1.9898527607362,0,"United Kingdom","0",10,0.24,0.71,0.08
11,5,16,2229,202.636363636364,-140,47,4.72727272727273,6,1.2,4217.76,-313.74,3904.02,1.89222072678331,2.241,"United Kingdom","1",25,0.43,0.98,0.96
1,0,1,63,63,0,13,13,0,0,305.51,0,0,4.84936507936508,0,"United Kingdom","1",178,0.98,0.03,0.08
1,0,1,82,82,0,21,21,0,0,223.48,0,0,2.72536585365854,0,"United Kingdom","0",178,0.98,0.03,0.09
3,1,4,1120,373.333333333333,-18,25,8.66666666666667,1,1,546.2,-5.22,540.98,0.487678571428571,0.29,"United Kingdom","0",46,0.6,0.71,0.76
5,0,5,1379,275.8,0,81,23.8,0,0,2346.29,0,0,1.70144307469181,0,"United Kingdom","1",58,0.67,0.79,0.09
10,0,10,1639,163.9,0,92,12.5,0,0,2976.32,0,0,1.8159365466748,0,"France","1",1,0.02,0.94,0.09
3,0,3,4626,1542,0,2,1,0,0,457.56,0,0,0.0989105058365759,0,"United Kingdom","0",72,0.74,0.59,0.09
4,1,5,591,147.75,-2,96,29.5,2,2,724.13,-10.9,713.23,1.22526226734349,5.45,"United Kingdom","0",60,0.68,0.8,0.79
20,0,20,3331,166.55,0,150,14.5,0,0,7002.53,0,0,2.10223056139297,0,"France","1",3,0.08,0.99,0.09
2,0,2,242,121,0,19,10,0,0,251.7,0,0,1.0400826446281,0,"United Kingdom","0",17,0.33,0.38,0.09
6,0,6,724,120.666666666667,0,39,9.83333333333333,0,0,1148.54,0,0,1.58638121546961,0,"United Kingdom","1",14,0.27,0.85,0.09
1,1,2,220,220,-1,25,25,1,1,489.31,-4.95,484.36,2.22413636363636,4.95,"Portugal","1",168,0.96,0.39,0.76
